date,sku,units,price,on_promo
2025-04-22,CABLE-USBC,46,9.99,0
2025-04-22,CASE-CLEAR,18,14.99,0
2025-04-22,CHARGER-65W,11,39.99,0
2025-04-22,GADGET-MINI,26,24.99,1
2025-04-22,GADGET-PRO,25,49.99,0
2025-04-22,SCREEN-GUARD,4,12.99,0
2025-04-22,STAND-ALU,4,29.99,0
2025-04-22,STICKER-PACK,13,4.99,0
2025-04-22,WIDGET-BLUE,14,19.99,0
2025-04-22,WIDGET-RED,25,19.99,0
2025-04-23,CABLE-USBC,37,9.99,0
2025-04-23,CASE-CLEAR,9,14.99,0
2025-04-23,CHARGER-65W,9,39.99,0
2025-04-23,GADGET-MINI,6,24.99,0
2025-04-23,GADGET-PRO,19,49.99,0
2025-04-23,SCREEN-GUARD,12,12.99,0
2025-04-23,STAND-ALU,5,29.99,0
2025-04-23,STICKER-PACK,19,4.99,0
2025-04-23,WIDGET-BLUE,27,19.99,0
2025-04-23,WIDGET-RED,26,19.99,0
2025-04-24,CABLE-USBC,45,9.99,0
2025-04-24,CASE-CLEAR,10,14.99,0
2025-04-24,CHARGER-65W,8,39.99,0
2025-04-24,GADGET-MINI,12,24.99,0
2025-04-24,GADGET-PRO,20,49.99,1
2025-04-24,SCREEN-GUARD,7,12.99,0
2025-04-24,STAND-ALU,4,29.99,0
2025-04-24,STICKER-PACK,8,4.99,0
2025-04-24,WIDGET-BLUE,22,19.99,0
2025-04-24,WIDGET-RED,14,19.99,0
2025-04-25,CABLE-USBC,22,9.99,0
2025-04-25,CASE-CLEAR,1,14.99,0
2025-04-25,CHARGER-65W,12,39.99,0
2025-04-25,GADGET-MINI,9,24.99,0
2025-04-25,GADGET-PRO,11,49.99,0
2025-04-25,SCREEN-GUARD,6,12.99,0
2025-04-25,STICKER-PACK,1,4.99,0
2025-04-25,WIDGET-BLUE,17,19.99,0
2025-04-25,WIDGET-RED,19,19.99,0
2025-04-26,CABLE-USBC,62,9.99,0
2025-04-26,CASE-CLEAR,11,14.99,0
2025-04-26,CHARGER-65W,11,39.99,0
2025-04-26,GADGET-MINI,7,24.99,0
2025-04-26,GADGET-PRO,59,49.99,1
2025-04-26,SCREEN-GUARD,10,12.99,0
2025-04-26,STAND-ALU,3,29.99,0
2025-04-26,WIDGET-BLUE,15,19.99,0
2025-04-26,WIDGET-RED,22,19.99,0
2025-04-27,CABLE-USBC,50,9.99,0
2025-04-27,CHARGER-65W,11,39.99,0
2025-04-27,GADGET-MINI,10,24.99,0
2025-04-27,GADGET-PRO,16,49.99,0
2025-04-27,SCREEN-GUARD,12,12.99,0
2025-04-27,STAND-ALU,6,29.99,1
2025-04-27,STICKER-PACK,15,4.99,0
2025-04-27,WIDGET-BLUE,29,19.99,0
2025-04-27,WIDGET-RED,35,19.99,0
2025-04-28,CABLE-USBC,38,9.99,0
2025-04-28,CASE-CLEAR,11,14.99,0
2025-04-28,CHARGER-65W,15,39.99,0
2025-04-28,GADGET-MINI,10,24.99,0
2025-04-28,GADGET-PRO,18,49.99,0
2025-04-28,SCREEN-GUARD,15,12.99,0
2025-04-28,STAND-ALU,1,29.99,1
2025-04-28,STICKER-PACK,7,4.99,0
2025-04-28,WIDGET-BLUE,18,19.99,0
2025-04-28,WIDGET-RED,26,19.99,0
2025-04-29,CABLE-USBC,37,9.99,0
2025-04-29,CASE-CLEAR,16,14.99,0
2025-04-29,CHARGER-65W,9,39.99,0
2025-04-29,GADGET-MINI,16,24.99,0
2025-04-29,GADGET-PRO,11,49.99,0
2025-04-29,SCREEN-GUARD,12,12.99,0
2025-04-29,STICKER-PACK,4,4.99,0
2025-04-29,WIDGET-BLUE,12,19.99,0
2025-04-29,WIDGET-RED,26,19.99,0
2025-04-30,CABLE-USBC,51,9.99,0
2025-04-30,CASE-CLEAR,3,14.99,0
2025-04-30,CHARGER-65W,13,39.99,0
2025-04-30,GADGET-MINI,7,24.99,0
2025-04-30,GADGET-PRO,18,49.99,0
2025-04-30,SCREEN-GUARD,11,12.99,0
2025-04-30,STAND-ALU,2,29.99,0
2025-04-30,STICKER-PACK,4,4.99,0
2025-04-30,WIDGET-BLUE,27,19.99,0
2025-04-30,WIDGET-RED,27,19.99,0
2025-05-01,CABLE-USBC,36,9.99,0
2025-05-01,CASE-CLEAR,11,14.99,0
2025-05-01,CHARGER-65W,10,39.99,0
2025-05-01,GADGET-MINI,10,24.99,0
2025-05-01,GADGET-PRO,18,49.99,0
2025-05-01,SCREEN-GUARD,38,12.99,1
2025-05-01,STAND-ALU,4,29.99,0
2025-05-01,STICKER-PACK,14,4.99,0
2025-05-01,WIDGET-BLUE,34,19.99,0
2025-05-01,WIDGET-RED,31,19.99,0
2025-05-02,CABLE-USBC,36,9.99,0
2025-05-02,CASE-CLEAR,8,14.99,0
2025-05-02,CHARGER-65W,14,39.99,0
2025-05-02,GADGET-MINI,22,24.99,0
2025-05-02,GADGET-PRO,25,49.99,0
2025-05-02,SCREEN-GUARD,24,12.99,0
2025-05-02,STAND-ALU,2,29.99,0
2025-05-02,STICKER-PACK,4,4.99,0
2025-05-02,WIDGET-BLUE,22,19.99,0
2025-05-02,WIDGET-RED,27,19.99,0
2025-05-03,CABLE-USBC,60,9.99,0
2025-05-03,CASE-CLEAR,1,14.99,0
2025-05-03,CHARGER-65W,16,39.99,0
2025-05-03,GADGET-MINI,21,24.99,0
2025-05-03,GADGET-PRO,14,49.99,0
2025-05-03,SCREEN-GUARD,2,12.99,0
2025-05-03,STAND-ALU,2,29.99,0
2025-05-03,STICKER-PACK,2,4.99,0
2025-05-03,WIDGET-BLUE,23,19.99,0
2025-05-03,WIDGET-RED,17,19.99,0
2025-05-04,CABLE-USBC,40,9.99,0
2025-05-04,CASE-CLEAR,15,14.99,0
2025-05-04,CHARGER-65W,22,39.99,0
2025-05-04,GADGET-MINI,10,24.99,0
2025-05-04,GADGET-PRO,23,49.99,0
2025-05-04,SCREEN-GUARD,17,12.99,0
2025-05-04,STAND-ALU,3,29.99,0
2025-05-04,STICKER-PACK,7,4.99,0
2025-05-04,WIDGET-BLUE,28,19.99,0
2025-05-04,WIDGET-RED,29,19.99,0
2025-05-05,CABLE-USBC,32,9.99,0
2025-05-05,CASE-CLEAR,1,14.99,0
2025-05-05,CHARGER-65W,15,39.99,0
2025-05-05,GADGET-MINI,4,24.99,0
2025-05-05,GADGET-PRO,16,49.99,0
2025-05-05,SCREEN-GUARD,8,12.99,0
2025-05-05,STICKER-PACK,17,4.99,0
2025-05-05,WIDGET-BLUE,20,19.99,0
2025-05-05,WIDGET-RED,19,19.99,0
2025-05-06,CABLE-USBC,51,9.99,0
2025-05-06,CASE-CLEAR,3,14.99,0
2025-05-06,CHARGER-65W,39,39.99,1
2025-05-06,GADGET-MINI,10,24.99,0
2025-05-06,GADGET-PRO,11,49.99,0
2025-05-06,SCREEN-GUARD,3,12.99,0
2025-05-06,STICKER-PACK,16,4.99,0
2025-05-06,WIDGET-BLUE,38,19.99,1
2025-05-06,WIDGET-RED,17,19.99,0
2025-05-07,CABLE-USBC,50,9.99,0
2025-05-07,CASE-CLEAR,6,14.99,0
2025-05-07,CHARGER-65W,15,39.99,0
2025-05-07,GADGET-MINI,7,24.99,0
2025-05-07,GADGET-PRO,16,49.99,0
2025-05-07,SCREEN-GUARD,12,12.99,0
2025-05-07,STAND-ALU,7,29.99,0
2025-05-07,STICKER-PACK,4,4.99,0
2025-05-07,WIDGET-BLUE,26,19.99,0
2025-05-07,WIDGET-RED,34,19.99,0
2025-05-08,CABLE-USBC,69,9.99,0
